peopleid3rog3,rog3,ctry,peopleid3,peopnameincountry,peopnameacrosscountries,naturalname,population,rog2,continent,regioncode,regionname,10_40window,peopleid1,affinitybloc,peopleid2,peoplecluster,populationpgac,jpscale,leastreached,frontier,workersneeded,rop25,rop25name,rop3,rol3,primarylanguagename,biblestatus,rlg3,primaryreligion,percentadherents,percentevangelical,indigenouscode,photoccversiontext,photoccversionurl,mapccversiontext,mapccversionurl,jf,audiorecordings,longitude,latitude
16753NP,NP,Nepal,16753,Dura,Dura,Dura,6100,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",9800,1,Y,N,1,302233,Dura,112001,npi,Nepali,5,5,Hinduism,3.064,,Y,,,,,Y,Y,84.355099,28.243214
11645MG,MG,Mongolia,11645,"Durbet, Dorwoten","Durbet, Dorwoten",Durbet,88000,ASI,Asia,3,"Asia, Northeast",Y,11,"East Asian Peoples",238,Mongolian,88000,1,Y,N,2,302236,Durbet,102771,khk,"Mongolian, Halh",5,2,Buddhism,2.000,1.500,Y,,,,,Y,Y,105.69875203431,46.181148606694
16754IN,IN,India,16754,Durgamurgi,Durgamurgi,Durgamurgi,1500,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",1500,1,Y,Y,1,302237,Durgamurga,112002,kan,Kannada,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,75.217551328057,16.469070311249
11646ID,ID,Indonesia,11646,Duri,Duri,Duri,146000,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",152,"Bugi-Makassar of Sulawesi",146000,1,Y,N,3,302238,Duri,102773,mvp,Duri,4,6,Islam,2.000,0.035,Y,,,,,Y,Y,119.87582,-3.3677
16742BG,BG,Bangladesh,16742,"Dusadh (Hindu traditions)","Dusadh (Hindu traditions)","Dusadh (Hindu traditions)",8700,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",407,"South Asia Dalit - Dusadh",6901700,1,Y,Y,1,302182,"Dosadh / Dusadh",111988,ben,Bengali,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,89.354422,25.617523
16742IN,IN,India,16742,"Dusadh (Hindu traditions)","Dusadh (Hindu traditions)","Dusadh (Hindu traditions)",6650000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",407,"South Asia Dalit - Dusadh",6901700,1,Y,Y,133,302182,"Dosadh / Dusadh",111988,hin,Hindi,5,5,Hinduism,0.027,,Y,,,,,Y,Y,84.519891604287,25.317889205583
16742NP,NP,Nepal,16742,"Dusadh (Hindu traditions)","Dusadh (Hindu traditions)","Dusadh (Hindu traditions)",243000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",407,"South Asia Dalit - Dusadh",6901700,1,Y,Y,5,302182,"Dosadh / Dusadh",111988,mai,Maithili,4,5,Hinduism,0.062,,Y,,,,,Y,Y,86.170626379857,27.156042002063
17523BG,BG,Bangladesh,17523,"Dusadh (Muslim traditions)","Dusadh (Muslim traditions)","Muslim Dusadh",2300,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",17300,1,Y,Y,1,302182,"Dosadh / Dusadh",112942,ben,Bengali,5,6,Islam,0.000,0.000,Y,,,,,Y,Y,90.00991,22.54708
17523IN,IN,India,17523,"Dusadh (Muslim traditions)","Dusadh (Muslim traditions)","Dusadh (Muslim traditions)",15000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",17300,1,Y,Y,1,302182,"Dosadh / Dusadh",112942,ben,Bengali,5,6,Islam,0.000,0.000,Y,,,,,Y,Y,88.614175,27.11619
21477BG,BG,Bangladesh,21477,"Dusadh Bahelia","Dusadh Bahelia","Dusadh Bahelia",5800,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",407,"South Asia Dalit - Dusadh",822800,1,Y,Y,1,302182,"Dosadh / Dusadh",118293,ben,Bengali,5,5,Hinduism,0.000,0.000,Y,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,89.59,24.38962
21477IN,IN,India,21477,"Dusadh Bahelia","Dusadh Bahelia","Dusadh Bahelia",817000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",407,"South Asia Dalit - Dusadh",822800,1,Y,Y,16,302182,"Dosadh / Dusadh",118293,hin,Hindi,5,5,Hinduism,0.021,,Y,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,88.18212284,25.16802752
11393BX,BX,Brunei,11393,"Dusun, Kadazan","Dusun, Kadazan","Kadazan Dusun",10000,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",155,Borneo-Kalimantan,91000,1,Y,N,1,303463,Kadazan-Dusun,102242,dtp,"Kadazan Dusun",5,6,Islam,2.500,1.900,Y,"CC BY 2.0",https://creativecommons.org/licenses/by/2.0/,,,Y,Y,114.69597521209,4.8123450957496
14677ML,ML,Mali,14677,"Duun, Samogo","Duun, Samogo",Duun,183000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",226,Mande,183000,1,Y,Y,4,307193,"Samogho, Duun",108583,dux,Duungooma,2,6,Islam,0.020,0.000,Y,"CC BY-NC-SA 2.0",https://creativecommons.org/licenses/by-nc-sa/2.0/,,,N,N,-5.858720000028,10.923439999856
11664NI,NI,Nigeria,11664,Duwai,Duwai,Duwai,20000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",158,"Chadic  ",20000,1,Y,N,1,302247,Duwai,102795,dbp,Duwai,2,6,Islam,0.500,0.500,Y,,,,,N,N,11.17921,12.84551
12375CA,CA,Canada,12375,Dyula,Jula,Dyula,3100,NAR,"North America",12,"America, North and Caribbean",N,22,"Sub-Saharan Peoples",218,Manding,4581100,1,Y,N,1,303420,Jula,104323,dyu,Jula,5,6,Islam,0.700,0.400,N,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,-75.6119,45.3911
12375GH,GH,Ghana,12375,Dyula,Jula,Dyula,91000,AFR,Africa,8,"Africa, West and Central",N,22,"Sub-Saharan Peoples",218,Manding,4581100,1,Y,Y,2,303420,Jula,104323,dyu,Jula,5,6,Islam,0.000,0.000,N,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,-2.6955563048796,7.9511422787931
12375ML,ML,Mali,12375,Dyula,Jula,Dyula,132000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",218,Manding,4581100,1,Y,Y,3,303420,Jula,104323,dyu,Jula,5,6,Islam,0.100,0.076,Y,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,-5.6699,11.35632
12375US,US,"United States",12375,Dyula,Jula,Dyula,15000,NAR,"North America",12,"America, North and Caribbean",N,22,"Sub-Saharan Peoples",218,Manding,4581100,1,Y,N,1,303420,Jula,104323,dyu,Jula,5,6,Islam,2.000,1.000,N,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,-73.896398,40.858047
12375UV,UV,"Burkina Faso",12375,Dyula,Jula,Dyula,2372000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",218,Manding,4581100,1,Y,N,47,303420,Jula,104323,dyu,Jula,5,6,Islam,0.800,0.013,Y,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,-4.0866500001974,10.770630000074
11668MG,MG,Mongolia,11668,"Dzakhchin, Zahchin","Dzakhchin, Zahchin",Dzakhchin,39000,ASI,Asia,3,"Asia, Northeast",Y,11,"East Asian Peoples",238,Mongolian,39000,1,Y,N,1,302252,"Dzakhchin, Zahchin",102804,khk,"Mongolian, Halh",5,2,Buddhism,2.000,1.700,Y,,,,,Y,Y,105.69663732197,46.177901251574
19267BT,BT,Bhutan,19267,Dzala,Dzala,Dzala,17000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",402,"South Asia Buddhist",17000,1,Y,Y,1,302253,"Dzalakha (Dzala)",114868,dzl,Dzalakha,0,2,Buddhism,0.000,0.000,Y,,,,,N,Y,91.38925,27.78518
19526UV,UV,"Burkina Faso",19526,"Dzuun, Samogo","Dzuun, Samogo",Dzuun,28000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",226,Mande,28000,1,Y,N,1,302257,"Dzuun, Samogo",102810,dnn,Dzuungoo,3,6,Islam,1.000,0.300,Y,,,,,N,Y,-4.92399,11.3661
11672CH,CH,China,11672,E,E,E,6900,ASI,Asia,3,"Asia, Northeast",Y,20,"Southeast Asian Peoples",295,Tai,6900,1,Y,Y,1,302259,"E (Tai)",102811,eee,E,1,4,"Ethnic Religions",0.000,0.000,Y,,,,,N,N,109.1097,24.76436
14771NL,NL,Netherlands,14771,"East Indian","East Indian","East Indian",149000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",468,"South Asia - other",1341700,1,Y,N,3,303202,"Indo-Caribbean (Sarnami)",108730,hns,"Hindustani, Sarnami",4,5,Hinduism,3.000,0.300,N,,,,,Y,Y,4.469827055674,51.918812227003
14771UC,UC,Curacao,14771,"East Indian","East Indian","East Indian",700,NAR,"North America",12,"America, North and Caribbean",N,21,"South Asian Peoples",468,"South Asia - other",1341700,1,Y,N,1,303202,"Indo-Caribbean (Sarnami)",108730,hns,"Hindustani, Sarnami",4,5,Hinduism,1.000,0.000,N,,,,,Y,Y,-63.062588609077,18.038298770672
21827NI,NI,Nigeria,21827,Eggan,Eggan,Eggan,21000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",250,Nupe,21000,1,Y,N,1,302278,Eggan,118453,nup,Nupe-Nupe-Tako,5,6,Islam,0.700,0.500,Y,,,,,Y,Y,5.3,9.17
20676AL,AL,Albania,20676,"Egyptian, Balkan","Egyptian, Balkan","Balkan Egyptian",2900,EUR,Europe,9,"Europe, Eastern and Eurasia",Y,12,"Eurasian Peoples",106,Albanian,20000,1,Y,N,1,302281,"Egyptian, Balkan",117066,als,"Albanian, Tosk",5,6,Islam,4.000,0.000,N,"CC BY-NC-SA 2.0",https://creativecommons.org/licenses/by-nc-sa/2.0/,,,Y,Y,19.818675,41.345601
20676KV,KV,Kosovo,20676,"Egyptian, Balkan","Egyptian, Balkan","Balkan Egyptian",10000,EUR,Europe,9,"Europe, Eastern and Eurasia",N,12,"Eurasian Peoples",106,Albanian,20000,1,Y,N,1,302281,"Egyptian, Balkan",117066,als,"Albanian, Tosk",5,6,Islam,2.000,0.200,N,"CC BY-NC-SA 2.0",https://creativecommons.org/licenses/by-nc-sa/2.0/,,,Y,Y,21.164708,42.653235
20676MJ,MJ,Montenegro,20676,"Egyptian, Balkan","Egyptian, Balkan","Balkan Egyptian",2000,EUR,Europe,9,"Europe, Eastern and Eurasia",N,12,"Eurasian Peoples",106,Albanian,20000,1,Y,N,1,302281,"Egyptian, Balkan",117066,als,"Albanian, Tosk",5,6,Islam,3.000,0.000,N,"CC BY-NC-SA 2.0",https://creativecommons.org/licenses/by-nc-sa/2.0/,,,Y,Y,19.273163,42.45627
20676MK,MK,"North Macedonia",20676,"Egyptian, Balkan","Egyptian, Balkan","Balkan Egyptian",3700,EUR,Europe,9,"Europe, Eastern and Eurasia",N,12,"Eurasian Peoples",106,Albanian,20000,1,Y,N,1,302281,"Egyptian, Balkan",117066,als,"Albanian, Tosk",5,6,Islam,2.000,0.000,N,"CC BY-NC-SA 2.0",https://creativecommons.org/licenses/by-nc-sa/2.0/,,,Y,Y,21.42821,41.984469
20676RI,RI,Serbia,20676,"Egyptian, Balkan","Egyptian, Balkan","Balkan Egyptian",1400,EUR,Europe,9,"Europe, Eastern and Eurasia",N,12,"Eurasian Peoples",106,Albanian,20000,1,Y,N,1,302281,"Egyptian, Balkan",117066,als,"Albanian, Tosk",5,6,Islam,3.000,0.000,Y,"CC BY-NC-SA 2.0",https://creativecommons.org/licenses/by-nc-sa/2.0/,,,Y,Y,20.378196,44.807132
18448CH,CH,China,18448,Eka,Eka,Eka,3300,ASI,Asia,3,"Asia, Northeast",Y,23,"Tibetan-Himalayan Peoples",317,"Tibeto-Burman, other",3300,1,Y,N,1,302287,Eka,114048,lhu,Lahu,5,4,"Ethnic Religions",0.800,0.781,Y,,,,,Y,Y,99.918280420405,23.545132538836
11741SU,SU,Sudan,11741,Eliri,Eliri,Eliri,9800,AFR,Africa,7,"Africa, East and Southern",Y,22,"Sub-Saharan Peoples",248,"Nuba Mountains",9800,1,Y,N,1,302302,Eliri,102900,apd,"Arabic, Sudanese",4,6,Islam,2.000,0.500,Y,,,,,Y,Y,30.730550000382,10.274149999723
16756IN,IN,India,16756,Ellamalawar,Ellamalawar,Ellamalawar,6000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",6000,1,Y,Y,1,302036,"Ellamalawar (Devara)",112005,kan,Kannada,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,77.672273052565,19.234109683742
16757IN,IN,India,16757,Eluthassan,Eluthassan,Eluthassan,50000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",50000,1,Y,Y,1,302384,"Ezhuthachan / Eluthassan",112006,mal,Malayalam,5,5,Hinduism,0.000,0.000,Y,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,76.954345581825,10.367449482
10733CO,CO,Colombia,10733,Embera-Baudo,Embera-Baudo,Embera-Baudo,6700,LAM,"South America",11,"America, Latin",N,16,"Latin-Caribbean Americans",290,"South American Indigenous",6700,1,Y,Y,1,300968,Baudo,101147,bdc,Embera-Baudo,2,4,"Ethnic Religions",0.000,0.000,Y,"CC BY-NC-SA 2.0",https://creativecommons.org/licenses/by-nc-sa/2.0/,,,N,Y,-77.14491,5.27747
19579VM,VM,Vietnam,19579,En,En,En,300,ASI,Asia,2,"Asia, Southeast",Y,20,"Southeast Asian Peoples",295,Tai,300,1,Y,N,1,302320,En,115091,enc,En,1,4,"Ethnic Religions",4.000,1.000,Y,,,,,N,N,106.16669,22.83897
16024RS,RS,Russia,16024,"Enets, Yenisei Samoyed","Enets, Yenisei Samoyed","Yenisei Samoyed Enets",200,ASI,Asia,9,"Europe, Eastern and Eurasia",N,24,"Turkic Peoples",311,Ural-Siberian,200,1,Y,N,1,308998,Yenisei,111033,rus,Russian,5,4,"Ethnic Religions",4.000,0.000,Y,,,,,Y,Y,86.91427,69.16018
11142ID,ID,Indonesia,11142,Enim,Enim,Enim,139000,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",252,"Ogan of Sumatra",139000,1,Y,N,3,302329,Enim,102929,pse,"Malay, Central",4,6,Islam,1.000,0.007,Y,,,,,Y,Y,103.8006269169,-3.7503551670573
18449CH,CH,China,18449,Enipu,Enipu,Enipu,21000,ASI,Asia,3,"Asia, Northeast",Y,23,"Tibetan-Himalayan Peoples",317,"Tibeto-Burman, other",21000,1,Y,Y,1,302330,Enipu,114049,ycl,Lolopo,4,4,"Ethnic Religions",0.000,0.000,Y,,,,,N,Y,100.20190951112,25.354342348421
21646BM,BM,"Myanmar (Burma)",21646,Enn,Enn,Enn,1200,ASI,Asia,2,"Asia, Southeast",Y,20,"Southeast Asian Peoples",239,Mon-Khmer,1200,1,Y,Y,1,302332,Enn,118428,prk,"Wa, Parauk",5,4,"Ethnic Religions",0.000,0.000,Y,,,,,N,N,96.55,22.5
11143ID,ID,Indonesia,11143,Enrekang,Enrekang,Enrekang,81000,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",152,"Bugi-Makassar of Sulawesi",81000,1,Y,Y,2,302334,Enrekang,102930,ptt,Enrekang,3,6,Islam,0.004,0.000,Y,,,,,Y,N,119.65983000025,-3.5384800002518
21650CO,CO,Colombia,21650,Epera,Epera,Epera,80,LAM,"South America",11,"America, Latin",N,16,"Latin-Caribbean Americans",290,"South American Indigenous",580,1,Y,Y,1,302340,Epera,118430,spa,Spanish,5,4,"Ethnic Religions",0.000,0.000,Y,,,,,Y,Y,-78.47,1.29
16760IN,IN,India,16760,Eravallan,Eravallan,Eravallan,9200,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",475,"South Asia Tribal - other",9200,1,Y,N,1,302343,"Eravallan / Erawallan",112009,tam,Tamil,5,5,Hinduism,0.231,,Y,,,,,Y,Y,76.945658383992,10.837877149002
18451CH,CH,China,18451,Ergong,Ergong,Ergong,63000,ASI,Asia,3,"Asia, Northeast",Y,23,"Tibetan-Himalayan Peoples",304,Tibetan,63000,1,Y,Y,1,302346,Ergong,114051,ero,Horpa,1,2,Buddhism,0.005,0.005,Y,,,,,N,N,101.82593,30.82012
18452CH,CH,China,18452,Ersu,Ersu,Ersu,44000,ASI,Asia,3,"Asia, Northeast",Y,23,"Tibetan-Himalayan Peoples",317,"Tibeto-Burman, other",44000,1,Y,Y,1,302352,Ersu,114052,ers,Ersu,0,2,Buddhism,0.000,0.000,Y,,,,,N,N,102.157231276,28.087495408686
15084RS,RS,Russia,15084,"Eskimo, Siberian","Eskimo, Siberian","Siberian Eskimo",1700,ASI,Asia,9,"Europe, Eastern and Eurasia",N,18,"North American Peoples",192,Inuit,5000,1,Y,N,1,309068,Yupik,109544,ess,"Yupik, Saint Lawrence Island",4,4,"Ethnic Religions",2.000,0.800,Y,,,,,N,Y,-173.08406,64.36402
11164JA,JA,Japan,11164,Eurasian,Eurasian,Eurasian,123000,ASI,Asia,3,"Asia, Northeast",Y,20,"Southeast Asian Peoples",260,"Southeast Asian, other",1742700,1,Y,N,2,302370,Eurasian,102965,jpn,Japanese,5,2,Buddhism,5.000,1.500,Y,,,,,Y,Y,136.47528787619,35.35637100329
11167RS,RS,Russia,11167,"Even, Lamut",Even,Even,20000,ASI,Asia,9,"Europe, Eastern and Eurasia",N,24,"Turkic Peoples",311,Ural-Siberian,20000,1,Y,N,1,302374,"Even (Lamut)",102970,eve,Even,3,4,"Ethnic Religions",3.000,0.319,Y,,,,,N,Y,135.90639,64.39508
18454RS,RS,Russia,18454,Evenki,Evenki,Evenki,39000,ASI,Asia,9,"Europe, Eastern and Eurasia",N,24,"Turkic Peoples",107,Altaic,74000,1,Y,N,1,302378,"Ewenki (Evenki)",114053,evn,Evenki,3,4,"Ethnic Religions",5.000,0.181,Y,,,,,N,Y,105.05914,63.58333
18454CH,CH,China,18454,"Evenki, Solon",Evenki,"Solon Evenki",35000,ASI,Asia,3,"Asia, Northeast",Y,24,"Turkic Peoples",107,Altaic,74000,1,Y,N,1,302378,"Ewenki (Evenki)",114053,evn,Evenki,3,4,"Ethnic Religions",0.300,0.200,Y,,,,,N,Y,119.76251307702,49.048516911926
18453CH,CH,China,18453,"Ewenki, Aoluguya",Ewenki,"Aoluguya Ewenki",400,ASI,Asia,3,"Asia, Northeast",Y,24,"Turkic Peoples",107,Altaic,400,1,Y,Y,1,302378,"Ewenki (Evenki)",114054,evn,Evenki,3,4,"Ethnic Religions",0.000,0.000,Y,,,,,N,Y,120.45511143305,50.253651910707
18606MG,MG,Mongolia,18606,"Ewenki, Khamnigan","Mongol, Khamnigan","Khamnigan Ewenki",600,ASI,Asia,3,"Asia, Northeast",Y,11,"East Asian Peoples",238,Mongolian,3200,1,Y,N,1,305580,"Mongol (Mongolian)",114226,evn,Evenki,3,4,"Ethnic Religions",1.000,0.500,N,,,,,N,Y,107.434,48.84302
21997SA,SA,"Saudi Arabia",21997,Faifi,Faifi,Faifi,53000,ASI,Asia,6,"Africa, North and Middle East",Y,13,"Horn of Africa Peoples",164,Ethio-Semitic,53000,1,Y,Y,1,302389,Faiti,119018,fif,Faifi,1,6,Islam,0.000,0.000,Y,"CC BY-NC-SA 2.0",https://creativecommons.org/licenses/by-nc-sa/2.0/,,,N,N,43.09,17.24
13981CM,CM,Cameroon,13981,"Fali, North","Fali, North","North Fali",51000,AFR,Africa,8,"Africa, West and Central",N,22,"Sub-Saharan Peoples",102,Adamawa-Ubangi,51000,1,Y,N,1,302392,Fali,107401,fll,"Fali, North",3,6,Islam,3.000,2.000,Y,,,,,N,Y,13.66252,9.92232
22391SU,SU,Sudan,22391,Fanda,Fanda,Fanda,20000,AFR,Africa,7,"Africa, East and Southern",Y,22,"Sub-Saharan Peoples",248,"Nuba Mountains",20000,1,Y,Y,1,0,,119389,eli,Nding,1,6,Islam,0.000,0.000,Y,,,,,N,Y,30.69,10.18
11189CD,CD,Chad,11189,Fanya,Fanya,Fanya,3300,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",180,"Guera-Naba of Chad",3300,1,Y,N,1,302403,Fanya,102999,fni,Fania,1,6,Islam,0.110,0.100,Y,,,,,N,N,18.76956,10.25996
16762BG,BG,Bangladesh,16762,Faqir,Faqir,Faqir,5400,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",132400,1,Y,Y,1,302404,Faqir,112012,ben,Bengali,5,6,Islam,0.000,0.000,Y,,,,,Y,Y,90.839695223838,24.019784615986
16762IN,IN,India,16762,Faqir,Faqir,Faqir,106000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",132400,1,Y,Y,2,302404,Faqir,112012,urd,Urdu,5,6,Islam,0.000,0.000,Y,,,,,Y,Y,77.045474297631,29.741321956502
16762PK,PK,Pakistan,16762,Faqir,Faqir,Faqir,21000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",132400,1,Y,Y,1,302404,Faqir,112012,pnb,"Punjabi, Western",4,6,Islam,0.000,0.000,Y,,,,,Y,Y,74.380651801771,31.37668560303
19411IR,IR,Iran,19411,"Fars, Northwestern","Fars, Northwestern","Northwestern Fars",9300,ASI,Asia,5,"Asia, Central",Y,14,Persian-Median,268,Persian,9300,1,Y,Y,1,302405,Fars,115096,faz,"Fars, Northwestern",0,6,Islam,0.000,0.000,Y,,,,,N,N,52.925,29.643
11190IR,IR,Iran,11190,"Fars, Southwestern","Fars, Southwestern","Southwestern Fars",118000,ASI,Asia,5,"Asia, Central",Y,14,Persian-Median,268,Persian,118000,1,Y,Y,2,302405,Fars,103002,fay,"Fars, Southwestern",0,6,Islam,0.000,0.000,Y,,,,,N,Y,52.267,29.746
11197SU,SU,Sudan,11197,"Fezara, Juhayna",Fezara,"Fezara, Juhayna",379000,AFR,Africa,7,"Africa, East and Southern",Y,10,"Arab World",117,"Arab, Sudan",379000,1,Y,Y,8,302414,Fezara,103012,apd,"Arabic, Sudanese",4,6,Islam,0.000,0.000,Y,,,,,Y,Y,23.822828999858,14.318190000068
11219CD,CD,Chad,11219,Fongoro,Fongoro,Fongoro,4500,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",264,Ouaddai-Fur,7700,1,Y,Y,1,302434,Fongoro,103038,fvr,Fur,3,6,Islam,0.000,0.000,Y,,,,,Y,Y,22.567426230826,11.424240286202
11219SU,SU,Sudan,11219,Fongoro,Fongoro,Fongoro,3200,AFR,Africa,7,"Africa, East and Southern",Y,22,"Sub-Saharan Peoples",264,Ouaddai-Fur,7700,1,Y,Y,1,302434,Fongoro,103038,fgr,Fongoro,0,6,Islam,0.006,0.006,N,,,,,N,N,22.754,11.5046
11223BN,BN,Benin,11223,Foodo,Foodo,Foodo,49000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",181,Guinean,50200,1,Y,Y,1,302435,Foodo,103042,fod,Foodo,3,6,Islam,0.019,0.010,Y,,,,,N,Y,1.40228,9.56297
11223GH,GH,Ghana,11223,Foodo,Foodo,Foodo,1200,AFR,Africa,8,"Africa, West and Central",N,22,"Sub-Saharan Peoples",181,Guinean,50200,1,Y,Y,1,302435,Foodo,103042,fod,Foodo,3,6,Islam,0.019,0.010,N,,,,,N,Y,-0.827617,9.406518
19093FR,FR,France,19093,Fulani,Fulani,Fulani,32000,EUR,Europe,10,"Europe, Western",N,22,"Sub-Saharan Peoples",173,"Fulani / Fulbe",844000,1,Y,Y,1,302450,"Fulani (Fula, Fulbe)",109381,fuq,"Fulfulde, Central-Eastern Niger",4,6,Islam,0.000,0.000,N,"CC BY-SA 2.0",https://creativecommons.org/licenses/by-sa/2.0/,,,N,Y,2.290313,48.894298
11774CD,CD,Chad,11774,"Fulani, Adamawa","Fulani, Adamawa","Adamawa Fulani",311000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",173,"Fulani / Fulbe",5131000,1,Y,Y,6,302450,"Fulani (Fula, Fulbe)",103079,fub,"Fulfulde, Adamawa",5,6,Islam,0.070,0.070,Y,,,,,Y,Y,14.46236,9.91001
11774CM,CM,Cameroon,11774,"Fulani, Adamawa","Fulani, Adamawa","Adamawa Fulani",2768000,AFR,Africa,8,"Africa, West and Central",N,22,"Sub-Saharan Peoples",173,"Fulani / Fulbe",5131000,1,Y,Y,55,302450,"Fulani (Fula, Fulbe)",103079,fub,"Fulfulde, Adamawa",5,6,Islam,0.050,0.050,Y,,,,,Y,Y,14.41014800043,10.657325000049
11774CV,CV,"Cape Verde",11774,"Fulani, Adamawa","Fulani, Adamawa","Adamawa Fulani",72000,AFR,Africa,8,"Africa, West and Central",N,22,"Sub-Saharan Peoples",173,"Fulani / Fulbe",5131000,1,Y,Y,1,302450,"Fulani (Fula, Fulbe)",103079,fub,"Fulfulde, Adamawa",5,6,Islam,0.070,0.070,N,,,,,Y,Y,-23.520740385061,14.937988321004
11774GB,GB,Gabon,11774,"Fulani, Adamawa","Fulani, Adamawa","Adamawa Fulani",25000,AFR,Africa,8,"Africa, West and Central",N,22,"Sub-Saharan Peoples",173,"Fulani / Fulbe",5131000,1,Y,Y,1,302450,"Fulani (Fula, Fulbe)",103079,fub,"Fulfulde, Adamawa",5,6,Islam,0.080,0.080,N,,,,,Y,Y,11.499528452676,2.0875317446943
11774NI,NI,Nigeria,11774,"Fulani, Adamawa","Fulani, Adamawa","Adamawa Fulani",1683000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",173,"Fulani / Fulbe",5131000,1,Y,Y,34,302450,"Fulani (Fula, Fulbe)",103079,fub,"Fulfulde, Adamawa",5,6,Islam,0.052,0.052,Y,,,,,Y,Y,10.777939999931,8.2559400003307
11774US,US,"United States",11774,"Fulani, Adamawa","Fulani, Adamawa","Adamawa Fulani",31000,NAR,"North America",12,"America, North and Caribbean",N,22,"Sub-Saharan Peoples",173,"Fulani / Fulbe",5131000,1,Y,Y,1,302450,"Fulani (Fula, Fulbe)",103079,fub,"Fulfulde, Adamawa",5,6,Islam,0.100,0.100,N,,,,,Y,Y,-84.533164,39.121033
10559CD,CD,Chad,10559,"Fulani, Bagirmi","Fulani, Bagirmi","Bagirmi Fulani",45000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",173,"Fulani / Fulbe",295000,1,Y,N,1,302450,"Fulani (Fula, Fulbe)",100752,fui,"Fulfulde, Bagirmi",3,6,Islam,0.200,0.150,Y,,,,,Y,N,17.02445,11.16812
10559CT,CT,"Central African Republic",10559,"Fulani, Bagirmi","Fulani, Bagirmi","Bagirmi Fulani",250000,AFR,Africa,8,"Africa, West and Central",N,22,"Sub-Saharan Peoples",173,"Fulani / Fulbe",295000,1,Y,Y,5,302450,"Fulani (Fula, Fulbe)",100752,fui,"Fulfulde, Bagirmi",3,6,Islam,0.100,0.030,N,,,,,Y,N,19.669,6.465
